entity_id;name;area;device;state;unit
binary_sensor.handy_claudia_wi_fi_state;Wi-Fi state;;handy-claudia;not_loaded;
binary_sensor.handy_claudia_work_profile;Work profile;;handy-claudia;not_loaded;
binary_sensor.handy_sven_android_auto;Android Auto;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_app_inactive;App inactive;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_bluetooth_state;Bluetooth state;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_device_locked;Device locked;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_device_secure;Device secure;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_doze_mode;Doze mode;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_headphones;Headphones;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_hotspot_state;Hotspot state;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_interactive;Interactive;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_is_charging;Is charging;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_keyguard_locked;Keyguard locked;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_keyguard_secure;Keyguard secure;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_mic_muted;Mic muted;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_mobile_data;Mobile data;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_mobile_data_roaming;Mobile data roaming;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_music_active;Music active;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_nfc_state;NFC state;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_power_save;Power save;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_speakerphone;Speakerphone;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_wi_fi_state;Wi-Fi state;;Handy-Sven;not_loaded;
binary_sensor.handy_sven_work_profile;Work profile;;Handy-Sven;not_loaded;
binary_sensor.kitchen_water_leak;thirdreality_waterleak_04 Feuchte;kitchen;thirdreality_waterleak_04;off;
binary_sensor.laundry_room_siemens_dryer_01_fernstart;siemens_dryer_01 Fernstart;laundry_room;siemens_dryer_01;off;
binary_sensor.laundry_room_siemens_dryer_01_fernsteuerung;siemens_dryer_01 Fernsteuerung;laundry_room;siemens_dryer_01;on;
binary_sensor.laundry_room_siemens_dryer_01_konnektivitat;siemens_dryer_01 Konnektivität;laundry_room;siemens_dryer_01;on;
binary_sensor.laundry_room_siemens_dryer_01_lokale_steuerung;siemens_dryer_01 Lokale Steuerung;laundry_room;siemens_dryer_01;off;
binary_sensor.laundry_room_water_leak;thirdreality_waterleak_01 Feuchte;laundry_room;thirdreality_waterleak_01;unknown;
binary_sensor.lea_room_fyta_g1_01_batteriestand;fyta_g1_01 Batteriestand;lea_room;fyta_g1_01;on;
binary_sensor.lea_room_fyta_g1_01_nutzpflanze;fyta_g1_01 Nutzpflanze;lea_room;fyta_g1_01;off;
binary_sensor.lea_room_fyta_g1_01_umgetopft;fyta_g1_01 Umgetopft;lea_room;fyta_g1_01;off;
binary_sensor.lea_room_fyta_g1_01_update;fyta_g1_01 Update;lea_room;fyta_g1_01;off;
binary_sensor.lea_room_fyta_g1_03_batteriestand;fyta_g1_03 Batteriestand;lea_room;fyta_g1_03;off;
binary_sensor.lea_room_fyta_g1_03_nutzpflanze;fyta_g1_03 Nutzpflanze;lea_room;fyta_g1_03;off;
binary_sensor.lea_room_fyta_g1_03_umgetopft;fyta_g1_03 Umgetopft;lea_room;fyta_g1_03;on;
binary_sensor.lea_room_fyta_g1_03_update;fyta_g1_03 Update;lea_room;fyta_g1_03;off;
binary_sensor.living_room_condensation_risk;Living Room Condensation Risk;;;off;
binary_sensor.living_room_fyta_g1_02_batteriestand;fyta_g1_02 Batteriestand;living_room;fyta_g1_02;on;
binary_sensor.living_room_fyta_g1_02_nutzpflanze;fyta_g1_02 Nutzpflanze;living_room;fyta_g1_02;off;
binary_sensor.living_room_fyta_g1_02_umgetopft;fyta_g1_02 Umgetopft;living_room;fyta_g1_02;off;
binary_sensor.living_room_fyta_g1_02_update;fyta_g1_02 Update;living_room;fyta_g1_02;off;
binary_sensor.living_room_mold_risk;Living Room Mold Risk;;;off;
binary_sensor.living_room_shelly_minig3_01_eingang_0;shelly_minig3_01 Eingang 0;living_room;shelly_minig3_01;unavailable;
binary_sensor.living_room_shelly_plusuni_01_eingang_0;shelly_plusuni_01 Eingang 0;living_room;shelly_plusuni_01;off;
binary_sensor.living_room_shelly_plusuni_01_eingang_1;shelly_plusuni_01 Eingang 1;living_room;shelly_plusuni_01;off;
binary_sensor.living_room_shelly_shsw25_01_uberhitzung;shelly_shsw25_01 Überhitzung;living_room;shelly_shsw25_01;off;
binary_sensor.living_room_ventilation_recommended;Living Room Ventilation Recommended;;;on;
binary_sensor.living_room_water_leak;thirdreality_waterleak_02 Feuchte;living_room;thirdreality_waterleak_02;off;
binary_sensor.mat_de_mqtt_verbindung;mat*** (DE) MQTT Verbindung;virtual;mat*** (DE);on;
binary_sensor.mat_de_nachrichten;mat*** (DE) Nachrichten;virtual;mat*** (DE);on;
binary_sensor.matter_server_running;Aktiv;;Matter Server;not_loaded;
binary_sensor.mosquitto_broker_aktiv;Aktiv;;Mosquitto broker;not_loaded;
binary_sensor.onedrive_backup_aktiv;Aktiv;;OneDrive Backup;not_loaded;
binary_sensor.openthread_border_router_aktiv;Aktiv;;OpenThread Border Router;not_loaded;
binary_sensor.power_main_cloud;Cloud;staircase_basement;shelly_3empro_01;not_loaded;
binary_sensor.power_main_neustart_erforderlich;Neustart erforderlich;staircase_basement;shelly_3empro_01;not_loaded;
binary_sensor.quentin_beleuchtungs_benachrichtigung;Beleuchtungs-Benachrichtigung;living_room;fyta_g1_02;not_loaded;
binary_sensor.quentin_nahrstoff_benachrichtigung;Nährstoff-Benachrichtigung;living_room;fyta_g1_02;not_loaded;
binary_sensor.quentin_temperatur_benachrichtigung;Temperatur-Benachrichtigung;living_room;fyta_g1_02;not_loaded;
binary_sensor.quentin_wasser_benachrichtigung;Wasser-Benachrichtigung;living_room;fyta_g1_02;not_loaded;
binary_sensor.raspberry_pi_power_status;Raspberry Pi Stromversorgungsstatus;;Raspberry Pi;off;
binary_sensor.samba_share_aktiv;Aktiv;;Samba share;not_loaded;
binary_sensor.shelly1minig3_54320461c1ac_cloud;Cloud;living_room;shelly_minig3_01;not_loaded;
binary_sensor.shelly1minig3_54320461c1ac_neustart_erforderlich;Neustart erforderlich;living_room;shelly_minig3_01;not_loaded;
binary_sensor.shelly_dw2_01_erschutterung;shelly_dw2_01 Erschütterung;;shelly_dw2_01;on;
binary_sensor.shelly_dw2_01_tur;shelly_dw2_01 Tür;;shelly_dw2_01;on;
binary_sensor.shellyblugw_08d1f90c9d6c_cloud;Cloud;attic;shelly_blugw_01;not_loaded;
binary_sensor.shellyblugw_08d1f90c9d6c_neustart_erforderlich;Neustart erforderlich;attic;shelly_blugw_01;not_loaded;
binary_sensor.shellyplusplugs_80646fce4be8_cloud;Cloud;staircase_ground_floor;shelly_plusplug_01;not_loaded;
binary_sensor.shellyplusplugs_80646fce4be8_neustart_erforderlich;Neustart erforderlich;staircase_ground_floor;shelly_plusplug_01;not_loaded;
binary_sensor.shellyplusuni_e08cfe8b4a18_cloud;Cloud;living_room;shelly_plusuni_01;not_loaded;
binary_sensor.shellyplusuni_e08cfe8b4a18_neustart_erforderlich;Neustart erforderlich;living_room;shelly_plusuni_01;not_loaded;
binary_sensor.staircase_ground_floor_shelly_plusplug_01_video_indicator_uberhitzung;shelly_plusplug_01 Video Indicator Überhitzung;staircase_ground_floor;shelly_plusplug_01;off;
binary_sensor.staircase_ground_floor_shelly_plusplug_01_video_indicator_uberlast;shelly_plusplug_01 Video Indicator Überlast;staircase_ground_floor;shelly_plusplug_01;off;
binary_sensor.staircase_ground_floor_shelly_plusplug_01_video_indicator_uberspannung;shelly_plusplug_01 Video Indicator Überspannung;staircase_ground_floor;shelly_plusplug_01;off;
binary_sensor.staircase_ground_floor_shelly_plusplug_01_video_indicator_uberstrom;shelly_plusplug_01 Video Indicator Überstrom;staircase_ground_floor;shelly_plusplug_01;off;
binary_sensor.storage_room_condensation_risk;Storage Room Condensation Risk;;;off;
binary_sensor.storage_room_mold_risk;Storage Room Mold Risk;;;off;
binary_sensor.storage_room_ventilation_recommended;Storage Room Ventilation Recommended;;;on;
binary_sensor.studio_code_server_aktiv;Aktiv;;Studio Code Server;not_loaded;
binary_sensor.sulu_beleuchtungs_benachrichtigung;Beleuchtungs-Benachrichtigung;lea_room;fyta_g1_01;not_loaded;
binary_sensor.sulu_nahrstoff_benachrichtigung;Nährstoff-Benachrichtigung;lea_room;fyta_g1_01;not_loaded;
binary_sensor.sulu_temperatur_benachrichtigung;Temperatur-Benachrichtigung;lea_room;fyta_g1_01;not_loaded;
binary_sensor.sulu_wasser_benachrichtigung;Wasser-Benachrichtigung;lea_room;fyta_g1_01;not_loaded;
binary_sensor.sun_solar_rising;Solare Zunahme;;Sun;not_loaded;
binary_sensor.tailscale_aktiv;Aktiv;;Tailscale;not_loaded;
binary_sensor.terminal_ssh_aktiv;Aktiv;;Terminal & SSH;not_loaded;
binary_sensor.terrace_anker_solix_akkuheizung;anker_solix Akkuheizung;virtual;anker_solix;off;
binary_sensor.terrace_anker_solix_systemadministration;anker_solix Systemadministration;virtual;anker_solix;off;
binary_sensor.terrace_esp32_soundmeter_01_esp32_status;esp32_soundmeter_01 ESP32 Status;terrace;esp32_soundmeter_01;on;
binary_sensor.terrace_shelly_shsw25_01_c1_eingang;shelly_shsw25_01_c1 Eingang;terrace;shelly_shsw25_01_c1;off;
binary_sensor.terrace_shelly_shsw25_01_c1_uberlast;shelly_shsw25_01_c1 Überlast;terrace;shelly_shsw25_01_c1;off;
binary_sensor.terrace_shelly_shsw25_01_c2_eingang;shelly_shsw25_01_c2 Eingang;terrace;shelly_shsw25_01_c2;off;
binary_sensor.terrace_shelly_shsw25_01_c2_uberlast;shelly_shsw25_01_c2 Überlast;terrace;shelly_shsw25_01_c2;off;
binary_sensor.terrasse_sw_01_cloud;Cloud;living_room;shelly_shsw25_01;not_loaded;
binary_sensor.thirdreality_waterleak_01_battery_low;thirdreality_waterleak_01 Batteriestand;laundry_room;thirdreality_waterleak_01;unknown;
binary_sensor.thirdreality_waterleak_02_battery_low;thirdreality_waterleak_02 Batteriestand;living_room;thirdreality_waterleak_02;off;
binary_sensor.thirdreality_waterleak_03_battery_low;thirdreality_waterleak_03 Batteriestand;toilet;thirdreality_waterleak_03;off;
binary_sensor.thirdreality_waterleak_04_battery_low;thirdreality_waterleak_04 Batteriestand;kitchen;thirdreality_waterleak_04;off;
binary_sensor.thirdreality_waterleak_05_battery_low;thirdreality_waterleak_05 Batteriestand;bathroom;thirdreality_waterleak_05;off;
binary_sensor.toilet_water_leak;thirdreality_waterleak_03 Feuchte;toilet;thirdreality_waterleak_03;off;
binary_sensor.watermeter_problem;watermeter Problem;;watermeter;off;
binary_sensor.zigbee2mqtt_aktiv;Aktiv;;Zigbee2MQTT;not_loaded;
binary_sensor.zigbee2mqtt_bridge_connection_state;Zigbee2MQTT Bridge Connection state;;Zigbee2MQTT Bridge;on;
binary_sensor.zigbee2mqtt_bridge_restart_required;Restart required;;Zigbee2MQTT Bridge;not_loaded;
button.anker_solarbank_01_refresh_details;anker_solarbank_01 Details aktualisieren;terrace;anker_solarbank_01;unknown;
button.attic_shelly_blugw_01_neu_starten;shelly_blugw_01 Neu starten;attic;shelly_blugw_01;unknown;
button.boiler_room_synology_ds225_01_herunterfahren;synology_ds225_01 Herunterfahren;boiler_room;synology_ds225_01;unknown;
button.boiler_room_synology_ds225_01_neu_starten;synology_ds225_01 Neu starten;boiler_room;synology_ds225_01;unknown;
button.ikea_plug_01_identify;ikea_plug_01 Identifizieren;laundry_room;ikea_plug_01;unknown;
button.laundry_room_siemens_dryer_01_programm_stoppen;siemens_dryer_01 Programm stoppen;laundry_room;siemens_dryer_01;unknown;
button.living_room_esp32_display_01_wohnzimmer_display_01_restart;esp32_display_01 Wohnzimmer Display 01 Restart;living_room;esp32_display_01;unknown;
button.living_room_shelly_minig3_01_neu_starten;shelly_minig3_01 Neu starten;living_room;shelly_minig3_01;unavailable;
button.living_room_shelly_plusuni_01_neu_starten;shelly_plusuni_01 Neu starten;living_room;shelly_plusuni_01;unknown;
button.living_room_shelly_shsw25_01_neu_starten;shelly_shsw25_01 Neu starten;living_room;shelly_shsw25_01;unknown;
button.mat_de_fahrzeuge_aktualisieren;mat*** (DE) Fahrzeuge aktualisieren;virtual;mat*** (DE);unknown;
button.nous_plug_01_identify;nous_plug_01 Identifizieren;anna_room;nous_plug_01;unknown;
button.staircase_basement_anker_shellypro3em_01_details_aktualisieren;anker_shellypro3em_01 Details aktualisieren;staircase_basement;anker_shellypro3em_01;unknown;
button.staircase_basement_shelly_3empro_01_neu_starten;shelly_3empro_01 Neu starten;staircase_basement;shelly_3empro_01;unknown;
button.staircase_ground_floor_shelly_plusplug_01_neu_starten;shelly_plusplug_01 Neu starten;staircase_ground_floor;shelly_plusplug_01;unknown;
button.watermeter_flowstart;watermeter Manual Flow Start;;watermeter;unknown;
button.zigbee2mqtt_bridge_restart;Zigbee2MQTT Bridge Restart;;Zigbee2MQTT Bridge;unknown;
conversation.home_assistant;Home Assistant;;;unknown;
device_tracker.handy_claudia;handy-claudia;;handy-claudia;home;
device_tracker.handy_sven;Handy-Sven;;Handy-Sven;home;
event.backup_automatic_backup;Backup Automatisches Backup;;Backup;unknown;
event.bthome_sensor_f2ba_button;shelly_dw_04 Button;lea_room;shelly_dw_04;2026-07-12T15:01:54.623+00:00;
event.bthome_sensor_f3b0_button;shelly_dw_06 Button;anna_room;shelly_dw_06;2026-07-12T15:04:32.904+00:00;
event.bthome_sensor_fae8_button;shelly_dw_02 Button;toilet;shelly_dw_02;2026-07-12T14:59:18.216+00:00;
fan.bedroom_xiaomi_airfilter_01;xiaomi_airpurifier_01;bedroom;xiaomi_airpurifier_01;on;
image.lea_room_fyta_g1_01_benutzerbild;fyta_g1_01 Benutzerbild;lea_room;fyta_g1_01;unknown;
image.lea_room_fyta_g1_01_pflanzenbild;fyta_g1_01 Pflanzenbild;lea_room;fyta_g1_01;unknown;
image.lea_room_fyta_g1_03_benutzerbild;fyta_g1_03 Benutzerbild;lea_room;fyta_g1_03;unknown;
image.lea_room_fyta_g1_03_pflanzenbild;fyta_g1_03 Pflanzenbild;lea_room;fyta_g1_03;unknown;
image.living_room_fyta_g1_02_benutzerbild;fyta_g1_02 Benutzerbild;living_room;fyta_g1_02;unknown;
image.living_room_fyta_g1_02_pflanzenbild;fyta_g1_02 Pflanzenbild;living_room;fyta_g1_02;unknown;
input_boolean.trigger_forecast_update;Trigger Forecast Update;;;off;
notify.handy_claudia;handy-claudia;;handy-claudia;unknown;
notify.handy_sven;Handy-Sven;;Handy-Sven;unknown;
number.anker_solarbank_01_battery_capacity;anker_solarbank_01 Akku Kapazität;terrace;anker_solarbank_01;5376;Wh
number.nous_plug_01_countdown;nous_plug_01 Countdown;anna_room;nous_plug_01;0;s
number.sonoff_th_01_comfort_humidity_max;sonoff_th_01 Comfort humidity max;bedroom;sonoff_th_01;60;%
number.sonoff_th_01_comfort_humidity_min;sonoff_th_01 Comfort humidity min;bedroom;sonoff_th_01;40;%
number.sonoff_th_01_comfort_temperature_max;sonoff_th_01 Temperatur;bedroom;sonoff_th_01;27;°C
number.sonoff_th_01_comfort_temperature_min;sonoff_th_01 Temperatur;bedroom;sonoff_th_01;19;°C
number.sonoff_th_01_humidity_calibration;sonoff_th_01 Humidity calibration;bedroom;sonoff_th_01;0;%
number.sonoff_th_01_temperature_calibration;sonoff_th_01 Temperature calibration;bedroom;sonoff_th_01;0;°C
number.sonoff_th_02_humidity_calibration;sonoff_th_02 Humidity calibration;living_room;sonoff_th_02;0;%
number.sonoff_th_02_temperature_calibration;sonoff_th_02 Temperature calibration;living_room;sonoff_th_02;0;°C
number.sonoff_th_03_humidity_calibration;sonoff_th_03 Humidity calibration;garden_north;sonoff_th_03;0;%
number.sonoff_th_03_temperature_calibration;sonoff_th_03 Temperature calibration;garden_north;sonoff_th_03;0;°C
number.sonoff_th_04_comfort_humidity_max;sonoff_th_04 Comfort humidity max;storage_room;sonoff_th_04;60;%
number.sonoff_th_04_comfort_humidity_min;sonoff_th_04 Comfort humidity min;storage_room;sonoff_th_04;40;%
number.sonoff_th_04_comfort_temperature_max;sonoff_th_04 Temperatur;storage_room;sonoff_th_04;27;°C
number.sonoff_th_04_comfort_temperature_min;sonoff_th_04 Temperatur;storage_room;sonoff_th_04;19;°C
number.sonoff_th_04_humidity_calibration;sonoff_th_04 Humidity calibration;storage_room;sonoff_th_04;0;%
number.sonoff_th_04_temperature_calibration;sonoff_th_04 Temperature calibration;storage_room;sonoff_th_04;0;°C
number.sonoff_th_05_humidity_calibration;sonoff_th_05 Humidity calibration;terrace;sonoff_th_05;0;%
number.sonoff_th_05_temperature_calibration;sonoff_th_05 Temperature calibration;terrace;sonoff_th_05;0;°C
number.sonoff_th_06_comfort_humidity_max;sonoff_th_06 Comfort humidity max;lea_room;sonoff_th_06;60;%
number.sonoff_th_06_comfort_humidity_min;sonoff_th_06 Comfort humidity min;lea_room;sonoff_th_06;40;%
number.sonoff_th_06_comfort_temperature_max;sonoff_th_06 Temperatur;lea_room;sonoff_th_06;27;°C
number.sonoff_th_06_comfort_temperature_min;sonoff_th_06 Temperatur;lea_room;sonoff_th_06;19;°C
number.sonoff_th_06_humidity_calibration;sonoff_th_06 Humidity calibration;lea_room;sonoff_th_06;0;%
number.sonoff_th_06_temperature_calibration;sonoff_th_06 Temperature calibration;lea_room;sonoff_th_06;0;°C
number.sonoff_th_07_comfort_humidity_max;sonoff_th_07 Comfort humidity max;anna_room;sonoff_th_07;60;%
number.sonoff_th_07_comfort_humidity_min;sonoff_th_07 Comfort humidity min;anna_room;sonoff_th_07;40;%
number.sonoff_th_07_comfort_temperature_max;sonoff_th_07 Temperatur;anna_room;sonoff_th_07;27;°C
number.sonoff_th_07_comfort_temperature_min;sonoff_th_07 Temperatur;anna_room;sonoff_th_07;19;°C
number.sonoff_th_07_humidity_calibration;sonoff_th_07 Humidity calibration;anna_room;sonoff_th_07;0;%
number.sonoff_th_07_temperature_calibration;sonoff_th_07 Temperature calibration;anna_room;sonoff_th_07;0;°C
number.sonoff_th_08_humidity_calibration;sonoff_th_08 Humidity calibration;bathroom;sonoff_th_08;0;%
number.sonoff_th_08_temperature_calibration;sonoff_th_08 Temperature calibration;bathroom;sonoff_th_08;0;°C
number.terrace_anker_solix_dyn_preis_gebuhr;anker_solix Dyn. Preis Gebühr;virtual;anker_solix;0.17895;
number.terrace_anker_solix_dyn_preis_mwst;anker_solix Dyn. Preis MwSt;virtual;anker_solix;19;%
number.thirdreality_waterleak_01_water_leak_buzzer_alarm_mode;thirdreality_waterleak_01 Water leak buzzer alarm mode;laundry_room;thirdreality_waterleak_01;unknown;min
number.thirdreality_waterleak_02_water_leak_buzzer_alarm_mode;thirdreality_waterleak_02 Water leak buzzer alarm mode;living_room;thirdreality_waterleak_02;0;min
number.thirdreality_waterleak_03_water_leak_buzzer_alarm_mode;thirdreality_waterleak_03 Water leak buzzer alarm mode;toilet;thirdreality_waterleak_03;0;min
number.thirdreality_waterleak_04_water_leak_buzzer_alarm_mode;thirdreality_waterleak_04 Water leak buzzer alarm mode;kitchen;thirdreality_waterleak_04;0;min
number.thirdreality_waterleak_05_water_leak_buzzer_alarm_mode;thirdreality_waterleak_05 Water leak buzzer alarm mode;bathroom;thirdreality_waterleak_05;0;min
person.anna;anna;;;unknown;
person.claudia;claudia;;;home;
person.lea;lea;;;unknown;
person.sven;sven;;;home;
select.boiler_room_synology_ds225_01_lufterdrehzahl_modus;synology_ds225_01 Lüfterdrehzahl-Modus;boiler_room;synology_ds225_01;cool;
select.ikea_plug_01_power_on_behavior;ikea_plug_01 Power-on behavior;laundry_room;ikea_plug_01;previous;
select.laundry_room_siemens_dryer_01_aktives_programm;siemens_dryer_01 Aktives Programm;laundry_room;siemens_dryer_01;laundry_care_dryer_program_cotton;
select.laundry_room_siemens_dryer_01_ausgewahltes_programm;siemens_dryer_01 Ausgewähltes Programm;laundry_room;siemens_dryer_01;laundry_care_dryer_program_cotton;
select.nous_plug_01_indicator_mode;nous_plug_01 Indicator mode;anna_room;nous_plug_01;off/on;
select.nous_plug_01_power_outage_memory;nous_plug_01 Power outage memory;anna_room;nous_plug_01;restore;
select.nous_plug_01_switch_type_button;nous_plug_01 Switch type button;anna_room;nous_plug_01;release;
select.sonoff_plug_01_power_on_behavior;sonoff_plug_01 Power-on behavior;living_room;sonoff_plug_01;off;
select.sonoff_plug_02_power_on_behavior;sonoff_plug_02 Power-on behavior;bedroom;sonoff_plug_02;off;
select.sonoff_plug_03_power_on_behavior;sonoff_plug_03 Power-on behavior;lea_room;sonoff_plug_03;off;
select.sonoff_plug_04_power_on_behavior;sonoff_plug_04 Power-on behavior;storage_room;sonoff_plug_04;off;
select.sonoff_th_01_temperature_units;sonoff_th_01 Temperature units;bedroom;sonoff_th_01;celsius;
select.sonoff_th_04_temperature_units;sonoff_th_04 Temperature units;storage_room;sonoff_th_04;celsius;
select.sonoff_th_06_temperature_units;sonoff_th_06 Temperature units;lea_room;sonoff_th_06;celsius;
select.sonoff_th_07_temperature_units;sonoff_th_07 Temperature units;anna_room;sonoff_th_07;celsius;
select.terrace_anker_solix_preisanbieter;anker_solix Preisanbieter;virtual;anker_solix;unknown;
select.zigbee2mqtt_bridge_log_level;Zigbee2MQTT Bridge Log level;;Zigbee2MQTT Bridge;info;
sensor.0x0cae5ffffe873783_linkquality;Linkquality;boiler_room;tuya_repeater_01;not_loaded;
sensor.0x0ceff6fffe15b8bc_linkquality;Linkquality;anna_room;sonoff_th_07;not_loaded;
sensor.0x0ceff6fffe3b2dbd_linkquality;Linkquality;bedroom;sonoff_th_01;not_loaded;
sensor.0x282c02bfffeae2e4_linkquality;Linkquality;kitchen;thirdreality_waterleak_04;not_loaded;
sensor.0x282c02bfffeaf3d6_linkquality;Linkquality;laundry_room;thirdreality_waterleak_01;not_loaded;
sensor.0x282c02bfffeb8edb_linkquality;Linkquality;living_room;thirdreality_waterleak_02;not_loaded;
sensor.0x282c02bfffeb9455_linkquality;Linkquality;bathroom;thirdreality_waterleak_05;not_loaded;
sensor.0x282c02bfffee645a_linkquality;Linkquality;toilet;thirdreality_waterleak_03;not_loaded;
sensor.0x881a14fffeec47e2_linkquality;Linkquality;storage_room;sonoff_th_04;not_loaded;
sensor.0x881a14fffeec48d1_linkquality;Linkquality;lea_room;sonoff_th_06;not_loaded;
sensor.0x9035eafffe0974ad_linkquality;Linkquality;garden_north;sonoff_th_03;not_loaded;
sensor.0x9035eafffe0d88a2_linkquality;Linkquality;living_room;sonoff_th_02;not_loaded;
sensor.0xa4c138083ba3ffff_linkquality;Linkquality;living_room;sonoff_plug_01;not_loaded;
sensor.0xa4c138083dafffff_linkquality;Linkquality;lea_room;sonoff_plug_03;not_loaded;
sensor.0xa4c138087363ffff_linkquality;Linkquality;storage_room;sonoff_plug_04;not_loaded;
sensor.0xa4c13808abf4ffff_linkquality;Linkquality;bedroom;sonoff_plug_02;not_loaded;
sensor.0xa4c1386c82c38f90_linkquality;Linkquality;anna_room;nous_plug_01;not_loaded;
